i: 0, j: 0, time: 0
i: 0, j: 1, time: 3
i: 1, j: 0, time: 0
i: 2, j: 1, time: 0
i: 0, j: 2, time: 15
i: 0, j: 0, time: 15
i: 0, j: 2, time: 3
i: 0, j: 3, time: 3
i: 1, j: 1, time: 6
i: 2, j: 1, time: 12
i: 2, j: 1, time: 6
i: 2, j: 2, time: 3
i: 1, j: 2, time: 0
i: 2, j: 0, time: 0
i: 0, j: 0, time: 28
i: 2, j: 2, time: 7
i: 0, j: 2, time: 14
i: 3, j: 0, time: 0
i: 3, j: 1, time: 7
i: 2, j: 2, time: 3
i: 3, j: 1, time: 3
i: 1, j: 1, time: 0
i: 0, j: 1, time: 0
i: 0, j: 2, time: 0
i: 0, j: 1, time: 27
i: 2, j: 2, time: 24
i: 2, j: 2, time: 18
i: 2, j: 1, time: 15
i: 0, j: 1, time: 27
i: 0, j: 1, time: 15
i: 2, j: 1, time: 15
i: 0, j: 1, time: 3
i: 2, j: 1, time: 3
i: 0, j: 4, time: 3
i: 0, j: 2, time: 38
i: 0, j: 1, time: 17
i: 1, j: 1, time: 3
i: 2, j: 2, time: 10
i: 1, j: 2, time: 13
i: 2, j: 1, time: 41
i: 0, j: 1, time: 34
i: 2, j: 1, time: 13
i: 0, j: 3, time: 6
i: 3, j: 1, time: 27
i: 3, j: 1, time: 13
i: 2, j: 2, time: 21
i: 3, j: 1, time: 21
i: 0, j: 1, time: 18
i: 0, j: 2, time: 12
i: 2, j: 2, time: 9
i: 3, j: 1, time: 9
i: 0, j: 1, time: 6
i: 0, j: 2, time: 6
i: 2, j: 1, time: 15
i: 1, j: 2, time: 3
i: 4, j: 2, time: 3
i: 0, j: 2, time: 12
i: 1, j: 1, time: 6
i: 1, j: 0, time: 4
i: 2, j: 2, time: 8
i: 0, j: 2, time: 10
i: 2, j: 2, time: 0
i: 3, j: 2, time: 0
i: 3, j: 3, time: 2
i: 3, j: 1, time: 4
i: 2, j: 1, time: 12
i: 2, j: 2, time: 24
i: 2, j: 2, time: 12
i: 3, j: 0, time: 18
i: 1, j: 0, time: 24
i: 3, j: 2, time: 0
i: 1, j: 2, time: 6
i: 4, j: 0, time: 0
i: 0, j: 0, time: 30
i: 4, j: 1, time: 12
i: 0, j: 1, time: 18
i: 0, j: 1, time: 31
i: 1, j: 0, time: 40
i: 1, j: 0, time: 28
i: 2, j: 1, time: 28
i: 2, j: 1, time: 37
i: 1, j: 2, time: 7
i: 0, j: 2, time: 27
i: 4, j: 1, time: 7
i: 0, j: 3, time: 7
i: 0, j: 1, time: 24
i: 1, j: 0, time: 14
i: 2, j: 2, time: 14
i: 2, j: 1, time: 14
i: 3, j: 1, time: 8
i: 3, j: 1, time: 0
i: 3, j: 2, time: 0
i: 4, j: 0, time: 0
i: 2, j: 0, time: 2
i: 4, j: 2, time: 2
i: 2, j: 2, time: 4
i: 1, j: 0, time: 4
i: 1, j: 1, time: 2
i: 3, j: 0, time: 7
i: 2, j: 1, time: 37
i: 2, j: 1, time: 15
i: 1, j: 2, time: 3
i: 4, j: 2, time: 3
i: 0, j: 2, time: 12
i: 3, j: 0, time: 3
i: 3, j: 3, time: 3
i: 4, j: 1, time: 6
i: 2, j: 1, time: 15
i: 1, j: 1, time: 3
i: 1, j: 2, time: 7
i: 2, j: 1, time: 28
i: 0, j: 1, time: 21
i: 2, j: 1, time: 0
i: 0, j: 3, time: 0
i: 3, j: 1, time: 14
i: 3, j: 1, time: 0
i: 0, j: 2, time: 9
i: 0, j: 0, time: 9
i: 0, j: 3, time: 0
i: 1, j: 1, time: 3
i: 2, j: 1, time: 6
i: 2, j: 1, time: 0
i: 2, j: 2, time: 0
i: 0, j: 3, time: 0
i: 0, j: 1, time: 3
i: 2, j: 2, time: 0
i: 2, j: 1, time: 0
i: 0, j: 2, time: 39
i: 0, j: 0, time: 39
i: 0, j: 2, time: 27
i: 2, j: 1, time: 36
i: 2, j: 1, time: 30
i: 2, j: 2, time: 27
i: 2, j: 1, time: 33
i: 0, j: 2, time: 30
i: 2, j: 1, time: 21
i: 0, j: 2, time: 18
i: 2, j: 2, time: 27
i: 2, j: 2, time: 15
i: 3, j: 1, time: 27
i: 3, j: 1, time: 15
i: 0, j: 1, time: 24
i: 0, j: 2, time: 15
i: 0, j: 2, time: 39
i: 0, j: 0, time: 39
i: 0, j: 2, time: 27
i: 2, j: 1, time: 36
i: 2, j: 1, time: 30
i: 2, j: 2, time: 27
i: 0, j: 2, time: 15
i: 0, j: 0, time: 15
i: 2, j: 2, time: 15
i: 2, j: 2, time: 27
i: 2, j: 2, time: 15
i: 3, j: 1, time: 27
i: 3, j: 1, time: 15
i: 0, j: 1, time: 24
i: 0, j: 2, time: 15
i: 0, j: 2, time: 15
i: 0, j: 0, time: 15
i: 0, j: 2, time: 3
i: 0, j: 3, time: 3
i: 1, j: 1, time: 6
i: 2, j: 1, time: 12
i: 2, j: 1, time: 6
i: 2, j: 2, time: 3
i: 2, j: 2, time: 3
i: 3, j: 1, time: 3
i: 0, j: 2, time: 3
i: 0, j: 3, time: 27
i: 1, j: 2, time: 9
i: 2, j: 3, time: 3
i: 0, j: 3, time: 50
i: 0, j: 1, time: 38
i: 0, j: 3, time: 38
i: 1, j: 0, time: 44
i: 2, j: 1, time: 38
i: 0, j: 2, time: 29
i: 0, j: 0, time: 29
i: 0, j: 2, time: 17
i: 0, j: 3, time: 23
i: 0, j: 3, time: 17
i: 1, j: 1, time: 26
i: 2, j: 1, time: 26
i: 2, j: 1, time: 20
i: 2, j: 2, time: 17
i: 1, j: 2, time: 10
i: 2, j: 1, time: 38
i: 0, j: 1, time: 24
i: 2, j: 1, time: 10
i: 0, j: 3, time: 3
i: 3, j: 1, time: 17
i: 3, j: 1, time: 3
i: 2, j: 1, time: 50
i: 1, j: 2, time: 10
i: 0, j: 2, time: 40
i: 4, j: 1, time: 10
i: 0, j: 3, time: 10
i: 1, j: 1, time: 21
i: 1, j: 0, time: 19
i: 2, j: 2, time: 23
i: 2, j: 2, time: 15
i: 3, j: 2, time: 13
i: 3, j: 3, time: 17
i: 3, j: 1, time: 19
i: 2, j: 2, time: 44
i: 3, j: 1, time: 44
i: 1, j: 1, time: 53
i: 3, j: 3, time: 47
i: 4, j: 1, time: 50
i: 4, j: 1, time: 44
i: 0, j: 1, time: 41
i: 4, j: 2, time: 47
i: 0, j: 2, time: 41
i: 0, j: 2, time: 43
i: 0, j: 0, time: 43
i: 0, j: 3, time: 43
i: 0, j: 3, time: 37
i: 1, j: 1, time: 46
i: 1, j: 1, time: 34
i: 2, j: 1, time: 40
i: 2, j: 1, time: 34
i: 2, j: 2, time: 34
i: 2, j: 2, time: 16
i: 3, j: 1, time: 16
i: 1, j: 1, time: 13
i: 0, j: 1, time: 13
i: 0, j: 2, time: 13
i: 0, j: 4, time: 6
i: 0, j: 2, time: 41
i: 0, j: 1, time: 27
i: 1, j: 1, time: 6
i: 2, j: 2, time: 20
i: 3, j: 3, time: 33
i: 3, j: 3, time: 27
i: 4, j: 1, time: 36
i: 2, j: 1, time: 36
i: 1, j: 1, time: 33
i: 3, j: 3, time: 13
i: 4, j: 1, time: 16
i: 2, j: 1, time: 22
i: 1, j: 1, time: 13
i: 2, j: 1, time: 33
i: 0, j: 2, time: 30
i: 2, j: 1, time: 33
i: 0, j: 2, time: 27
i: 0, j: 0, time: 27
i: 2, j: 1, time: 24
i: 2, j: 1, time: 18
i: 2, j: 2, time: 18
i: 0, j: 1, time: 21
i: 2, j: 2, time: 18
i: 2, j: 2, time: 12
i: 2, j: 1, time: 12
i: 2, j: 1, time: 21
i: 0, j: 2, time: 18
i: 4, j: 1, time: 9
i: 2, j: 1, time: 21
i: 0, j: 2, time: 15
i: 0, j: 0, time: 15
i: 1, j: 1, time: 6
i: 2, j: 1, time: 12
i: 2, j: 1, time: 6
i: 2, j: 2, time: 6
i: 0, j: 1, time: 9
i: 2, j: 2, time: 6
i: 2, j: 1, time: 6
i: 2, j: 2, time: 27
i: 2, j: 2, time: 15
i: 3, j: 1, time: 27
i: 3, j: 1, time: 15
i: 0, j: 1, time: 24
i: 0, j: 2, time: 15
i: 1, j: 1, time: 9
